2016-03-15 16:26:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[25]------ ============处理前台请求开始=============== 
2016-03-15 16:26:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[49]------ 前台请求地址为>40220995861346480087409489142384722381 
2016-03-15 16:26:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[10]------ =====签名报文开始====== 
2016-03-15 16:26:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[16]------ 签名key=val&...串 >accessType=0&backUrl=http://wmk223.imwork.net/home/PayBackBack/UnionPayBack&bizType=000201&certId=40220995861346480087409489142384722381&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://wmk223.imwork.net/home/PayBackFront/UnionPayBack&merId=777290058127246&orderId=20160315162610458&reqReserved=&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20160315162615&txnType=01&version=5.0.0 
2016-03-15 16:26:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[19]------ 摘要sha1x16 >032ba9fa1e8e03fbf870a8b87b1095692f959bc3 
2016-03-15 16:26:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[27]------ 签名串为 >ac/idRTePxVm5o4sXjZz8hsNB5QVLXlHx16EcBlmpts0IbPEI19xvTSad5UHxHwgUfFkoNWJJz0QRrEhWQz0kHssCX7Q/ROOWyYfS0AFJ7EoOYGC0T1Kg6kv9B0dF7VWlrr+2UCIIx84wwTee0pAWbPxMg2AVtQs89ftD2HXt5E= 
2016-03-15 16:26:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[32]------ =====签名报文结束====== 
2016-03-15 16:26:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[55]------ 前台请求地址为>https://101.231.204.80:5000/gateway/api/frontTransReq.do 
2016-03-15 16:26:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[59]------ -------前台交易自动提交表单>--begin---- 
2016-03-15 16:26:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[61]------ -------前台交易自动提交表单>--end------- 
2016-03-15 16:26:15, INFO, 127.0.0.1, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[62]------ ============处理前台请求 结束=========== 
2016-03-15 16:35:47, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[25]------ ============处理前台请求开始=============== 
2016-03-15 16:35:47, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[49]------ 前台请求地址为>40220995861346480087409489142384722381 
2016-03-15 16:35:47, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[10]------ =====签名报文开始====== 
2016-03-15 16:35:47, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[16]------ 签名key=val&...串 >accessType=0&backUrl=http://wmk223.imwork.net/home/PayBackBack/UnionPayBack&bizType=000201&certId=40220995861346480087409489142384722381&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://wmk223.imwork.net/home/PayBackFront/UnionPayBack&merId=777290058127246&orderId=20160315162610458&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20160315163547&txnType=01&version=5.0.0 
2016-03-15 16:35:47, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[19]------ 摘要sha1x16 >032f5f57f7f5dde8500be74d0e52cc62db5ed37d 
2016-03-15 16:35:47, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[27]------ 签名串为 >O8Ja+i6Yax2eV2i0mhRBCnWhL8Pbpc9sS9Fl9NN1owrR/vUNzCnclOJ5Cev1FIwjvNsbGdVblIsZX/dBKvutVf6ApMsSYxlL4/jd3ryCGC3uBcpPywnyoOo5/AX+wnwPL7q1E2AfRHKeLl6Zw7Lpo/W5ySVrdAjgG2FSYjQD8mc= 
2016-03-15 16:35:47, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[32]------ =====签名报文结束====== 
2016-03-15 16:35:47, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[55]------ 前台请求地址为>https://101.231.204.80:5000/gateway/api/frontTransReq.do 
2016-03-15 16:35:47, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[59]------ -------前台交易自动提交表单>--begin---- 
2016-03-15 16:35:47, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[61]------ -------前台交易自动提交表单>--end------- 
2016-03-15 16:35:47, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[62]------ ============处理前台请求 结束=========== 
2016-03-15 16:36:25, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[25]------ ============处理前台请求开始=============== 
2016-03-15 16:36:25, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay.class.php ], Line[49]------ 前台请求地址为>40220995861346480087409489142384722381 
2016-03-15 16:36:25, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[10]------ =====签名报文开始====== 
2016-03-15 16:36:25, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[16]------ 签名key=val&...串 >accessType=0&backUrl=http://wmk223.imwork.net/home/PayBackBack/UnionPayBack&bizType=000201&certId=40220995861346480087409489142384722381&channelType=08&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://wmk223.imwork.net/home/PayBackFront/UnionPayBack&merId=777290058127246&orderId=20160315162610458&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20160315163625&txnType=01&version=5.0.0 
2016-03-15 16:36:25, INFO, 42.243.124.224, File[ D:\www\jianshen\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[19]------ 摘要sha1x16 >e91ad341349357291ed15fb8b61e722d18712602 
