2016-06-03 15:53:56, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[25]------ ============处理前台请求开始=============== 
2016-06-03 15:53:56, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[26]------ 1 
2016-06-03 15:53:56, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[50]------ 前台请求地址为>40220995861346480087409489142384722381 
2016-06-03 15:53:56, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[10]------ =====签名报文开始====== 
2016-06-03 15:53:56, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[16]------ 签名key=val&...串 >accessType=0&backUrl=http://lvyou.2blab.com/Mobile/Pays/UnionPayGo&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://lvyou.2blab.com/Mobile/Pays/UnionPayBack&merId=777290058127246&orderId=E1464940436&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20160603155356&txnType=01&version=5.0.0 
2016-06-03 15:53:56, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[19]------ 摘要sha1x16 >6c2314b677fee4f4f9c9945226d250fd712676c1 
2016-06-03 15:53:56, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[27]------ 签名串为 >GncuHcUyjIQRHCFy2JdriUWQ6ovS542y0b0Lj0AYg55nrCqzp4Bwh3a6MUdSKpf0/lkzMckxgmUIY1bxLvGgke9mFCQLwETVyo+ST/crVXSxbZ80FedP75vk3kQfWeII295LFfoYJR0FRrSMhLAkqUJWF89NWw/KZw7itGt9iuA= 
2016-06-03 15:53:56, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[32]------ =====签名报文结束====== 
2016-06-03 15:53:56, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[56]------ 前台请求地址为>https://101.231.204.80:5000/gateway/api/frontTransReq.do 
2016-06-03 15:53:56, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[60]------ -------前台交易自动提交表单>--begin---- 
2016-06-03 15:53:56, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[62]------ -------前台交易自动提交表单>--end------- 
2016-06-03 15:53:56, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[63]------ ============处理前台请求 结束=========== 
2016-06-03 16:01:04, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[25]------ ============处理前台请求开始=============== 
2016-06-03 16:01:04, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[26]------ 1 
2016-06-03 16:01:04, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[50]------ 前台请求地址为>40220995861346480087409489142384722381 
2016-06-03 16:01:04, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[10]------ =====签名报文开始====== 
2016-06-03 16:01:04, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[16]------ 签名key=val&...串 >accessType=0&backUrl=http://dt.ngrok.4kb.cn/Home/Pay/UnionPayBack&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://dt.ngrok.4kb.cn/Home/Pay/UnionPayGo&merId=777290058127246&orderId=E1464940864&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20160603160104&txnType=01&version=5.0.0 
2016-06-03 16:01:04, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[19]------ 摘要sha1x16 >32b9b1aa371a9e294c888a4d0a614acad367a94c 
2016-06-03 16:01:05, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[27]------ 签名串为 >QMfzRAHzqse50T+cXORmB+cxQU5+fwoc0Xd5x27r+8Nn7GYPAtXT0VG6utEGFozbCL+JClesXqrjCAqtLB5VtrtyUDs/JtbCUaf9dDEGQomhhh+JK5YZp78dlOUKpjR2Tcx57ZTAZ1DI0ukR2BgX+iRFS8zVHByGGTda4Sb8/7Y= 
2016-06-03 16:01:05, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[32]------ =====签名报文结束====== 
2016-06-03 16:01:05, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[56]------ 前台请求地址为>https://101.231.204.80:5000/gateway/api/frontTransReq.do 
2016-06-03 16:01:05, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[60]------ -------前台交易自动提交表单>--begin---- 
2016-06-03 16:01:05, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[62]------ -------前台交易自动提交表单>--end------- 
2016-06-03 16:01:05, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\PcUnionPay.class.php ], Line[63]------ ============处理前台请求 结束=========== 
2016-06-03 16:02:03, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[68]------ 报文返回的证书ID>68759585097 
