2016-06-06 11:10:53, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[10]------ =====签名报文开始====== 
2016-06-06 11:10:53, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[16]------ 签名key=val&...串 >accessType=0&backUrl=http://dt.ngrok.4kb.cn/Home/Pay/UnionPayGo&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://dt.ngrok.4kb.cn/Home/Pay/UnionPayBack&merId=777290058127246&orderId=E1465182653&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20160606111053&txnType=01&version=5.0.0 
2016-06-06 11:10:53, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[19]------ 摘要sha1x16 >3e1056eb65ec92679ebafe2337608d041801a34a 
2016-06-06 11:10:54, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[27]------ 签名串为 >BnALAd3OURg7L1vOIi9iX5ZMOxWLVKE/JAfhVZWgKJd2HKZggoHJvH0KEv3SOSbX7vu/S08ZdzCXeExG1Pk4GHSy85zYByTnwEq6YvoQfmm7kDeGA0BdHhgBd/vvwgcExF1CE/xmxhRjrfeu8CY5ggWmkP9665aEvJFRQ/6sx2A= 
2016-06-06 11:10:54, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[32]------ =====签名报文结束====== 
2016-06-06 12:49:22, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[10]------ =====签名报文开始====== 
2016-06-06 12:49:22, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[16]------ 签名key=val&...串 >accessType=0&backUrl=http://dt.ngrok.4kb.cn/Home/Pay/UnionPayGo&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://dt.ngrok.4kb.cn/Home/Pay/UnionPayBack&merId=777290058127246&orderId=E1465188562&signMethod=01&txnAmt=320000&txnSubType=01&txnTime=20160606124922&txnType=01&version=5.0.0 
2016-06-06 12:49:22, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[19]------ 摘要sha1x16 >669eb6c05473b2ffb450fc4e337b0012dc36a372 
2016-06-06 12:49:22, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[27]------ 签名串为 >UoqesV9bzPiMbIvfKCYGAcZV1Ad4PfehN4TQFghFZEsSVBdyVM5PJR7wI7vnYrHTj69G5BrBm3ovR19p9qXW5ujuWqhtzwu6PbXSUnc2R8GwS0Ox7zN6CJzUNPVlfrgTaoW6U569QA50cJZv4np/Ya64PUZi/rxRIYSBRJEOZrI= 
2016-06-06 12:49:22, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[32]------ =====签名报文结束====== 
2016-06-06 16:11:44, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[10]------ =====签名报文开始====== 
2016-06-06 16:11:44, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[16]------ 签名key=val&...串 >accessType=0&backUrl=http://dt.ngrok.4kb.cn/Home/Pay/UnionPayGo&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://dt.ngrok.4kb.cn/Home/Pay/UnionPayBack&merId=777290058127246&orderId=E1465200704&signMethod=01&txnAmt=1&txnSubType=01&txnTime=20160606161144&txnType=01&version=5.0.0 
2016-06-06 16:11:44, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[19]------ 摘要sha1x16 >6582f9a391dd1e7ccddbd706834dafbc61fcf92a 
2016-06-06 16:11:44, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[27]------ 签名串为 >MYbmem9Dkl/2XWd3JzPh9TWumnrdapCrJqVETRU31Yn7PPteruVsan0gwuEFnjSIlSNoooKiWixuHk7sLrN9vrVBQCjfGFgYkgKGpHVGDc+APf8qRejmZ9hs7s+bXSUNo9F7JIFYNSBU7nGrUvFBJSx1cZVTxKj2TuvT7asZIIM= 
2016-06-06 16:11:44, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[32]------ =====签名报文结束====== 
2016-06-06 17:47:20, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[10]------ =====签名报文开始====== 
2016-06-06 17:47:20, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[16]------ 签名key=val&...串 >accessType=0&backUrl=http://dt.ngrok.4kb.cn/Home/Pay/UnionPayGo&bizType=000201&certId=40220995861346480087409489142384722381&channelType=07&currencyCode=156&defaultPayType=0001&encoding=utf-8&frontUrl=http://dt.ngrok.4kb.cn/Home/Pay/UnionPayBack&merId=777290058127246&orderId=E1465206440&signMethod=01&txnAmt=173400&txnSubType=01&txnTime=20160606174720&txnType=01&version=5.0.0 
2016-06-06 17:47:20, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[19]------ 摘要sha1x16 >eb25177765b7dc889b07e867fa3f4dfa77daa85e 
2016-06-06 17:47:20, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[27]------ 签名串为 >N1n/OSRxv19CYCV8sCTkLSMDd4QoWtd74EPbaLDrSE+eCvRN01V3IThJ36IPAEi6iGQTnVyFaRw0mJnNJ6rHt+tE3yCexahUy2cpbgthU8o4nzZjeenJepEdEzpZ6pWFL3ZJoRtWJCBpcsANPQRz+Ez2Au/tYBpm+NbfUfLOzcI= 
2016-06-06 17:47:20, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[32]------ =====签名报文结束====== 
2016-06-06 17:52:45, INFO, 127.0.0.1, File[ D:\phpStudy\WWW\qingmai\ThinkPHP\Library\Org\Pay\UnionPay\funs\secureUtil.php ], Line[68]------ 报文返回的证书ID>68759585097 
